stage,language,problems,coverage
reference,C,1121,0.752854
reference,C++,1448,0.972465
reference,C#,1015,0.681666
reference,Java,1339,0.899261
reference,JavaScript,1164,0.781733
reference,Python3,1353,0.908664
reference,Golang,569,0.382136
reference,Rust,372,0.249832
reference_plus_generation_accepted,C,1474,0.989926
reference_plus_generation_accepted,C++,1489,1.000000
reference_plus_generation_accepted,C#,1487,0.998657
reference_plus_generation_accepted,Java,1486,0.997985
reference_plus_generation_accepted,JavaScript,1484,0.996642
reference_plus_generation_accepted,Python3,1489,1.000000
reference_plus_generation_accepted,Golang,1488,0.999328
reference_plus_generation_accepted,Rust,1482,0.995299
reference_plus_generation_and_translation_accepted,C,1474,0.989926
reference_plus_generation_and_translation_accepted,C++,1489,1.000000
reference_plus_generation_and_translation_accepted,C#,1487,0.998657
reference_plus_generation_and_translation_accepted,Java,1486,0.997985
reference_plus_generation_and_translation_accepted,JavaScript,1484,0.996642
reference_plus_generation_and_translation_accepted,Python3,1489,1.000000
reference_plus_generation_and_translation_accepted,Golang,1488,0.999328
reference_plus_generation_and_translation_accepted,Rust,1482,0.995299
