qid,reference_language_count,after_generation_language_count,after_all_language_count,is_complete_reference,is_complete_after_all,languages_reference,languages_after_generation,languages_after_all,new_languages_from_generation,new_languages_from_translation,missing_languages_after_all
1,5,8,8,0,1,C|C++|Java|Python3|Golang,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C#|JavaScript|Rust,,
3,4,8,8,0,1,C++|Java|JavaScript|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C#|Golang|Rust,,
4,3,8,8,0,1,C++|Java|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C#|JavaScript|Golang|Rust,,
5,3,8,8,0,1,C++|Java|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C#|JavaScript|Golang|Rust,,
6,6,8,8,0,1,C|C++|C#|Java|JavaScript|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,Golang|Rust,,
7,6,8,8,0,1,C|C++|C#|Java|JavaScript|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,Golang|Rust,,
8,3,8,8,0,1,C++|Java|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C#|JavaScript|Golang|Rust,,
9,2,8,8,0,1,C++|Java,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C#|JavaScript|Python3|Golang|Rust,,
10,3,8,8,0,1,C++|Java|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C#|JavaScript|Golang|Rust,,
12,6,8,8,0,1,C|C++|C#|Java|JavaScript|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,Golang|Rust,,
13,6,8,8,0,1,C|C++|C#|Java|JavaScript|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,Golang|Rust,,
14,3,8,8,0,1,C++|Java|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C#|JavaScript|Golang|Rust,,
15,3,8,8,0,1,C++|Java|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C#|JavaScript|Golang|Rust,,
16,4,8,8,0,1,C|C++|Java|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C#|JavaScript|Golang|Rust,,
18,6,8,8,0,1,C|C++|Java|JavaScript|Python3|Golang,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C#|Rust,,
20,5,8,8,0,1,C|C++|Java|JavaScript|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C#|Golang|Rust,,
22,3,8,8,0,1,C++|Java|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C#|JavaScript|Golang|Rust,,
23,1,8,8,0,1,Java,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|JavaScript|Python3|Golang|Rust,,
26,5,8,8,0,1,C|C++|Java|JavaScript|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C#|Golang|Rust,,
27,4,8,8,0,1,C|C++|Java|JavaScript,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C#|Python3|Golang|Rust,,
28,4,8,8,0,1,C|C++|Java|JavaScript,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C#|Python3|Golang|Rust,,
29,5,8,8,0,1,C++|C#|Java|JavaScript|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|Golang|Rust,,
30,6,8,8,0,1,C|C++|C#|Java|JavaScript|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,Golang|Rust,,
31,5,8,8,0,1,C|C++|Java|Python3|Golang,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C#|JavaScript|Rust,,
32,3,8,8,0,1,C|C++|Java,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C#|JavaScript|Python3|Golang|Rust,,
33,3,8,8,0,1,C++|Java|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C#|JavaScript|Golang|Rust,,
34,5,8,8,0,1,C|C++|Java|JavaScript|Golang,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C#|Python3|Rust,,
35,4,8,8,0,1,C|C++|Java|JavaScript,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C#|Python3|Golang|Rust,,
38,5,8,8,0,1,C++|C#|Java|JavaScript|Python3,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|Golang|Rust,,
39,5,8,8,0,1,C|C++|Java|JavaScript|Golang,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C#|Python3|Rust,,
40,8,8,8,1,1,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,C|C++|C#|Java|JavaScript|Python3|Golang|Rust,,,
