task,model,status_group,count,rate
generation,claude-3-5-haiku-20241022,Accepted,38855,0.652367360644728
generation,claude-3-5-haiku-20241022,CompileError,14620,0.24546675621222297
generation,claude-3-5-haiku-20241022,MemoryLimitExceeded,51,0.0008562793821356615
generation,claude-3-5-haiku-20241022,RuntimeError,2202,0.03697112155809268
generation,claude-3-5-haiku-20241022,TimeLimitExceeded,1498,0.025151108126259234
generation,claude-3-5-haiku-20241022,WrongAnswer,2334,0.03918737407656145
generation,deepseek-v3.2,Accepted,27855,0.4676796507723304
generation,deepseek-v3.2,CompileError,21110,0.3544325050369375
generation,deepseek-v3.2,MemoryLimitExceeded,30,0.0005036937541974479
generation,deepseek-v3.2,RuntimeError,6948,0.11665547347212894
generation,deepseek-v3.2,TimeLimitExceeded,702,0.011786433848220283
generation,deepseek-v3.2,WrongAnswer,2915,0.048942243116185356
generation,glm-4,Accepted,40073,0.6728173270651444
generation,glm-4,CompileError,4123,0.06922431161853593
generation,glm-4,MemoryLimitExceeded,55,0.0009234385493619879
generation,glm-4,OutputLimitExceeded,1,1.67897918065816e-05
generation,glm-4,RuntimeError,1886,0.03166554734721289
generation,glm-4,TimeLimitExceeded,1335,0.022414372061786435
generation,glm-4,WrongAnswer,12087,0.20293821356615177
generation,gpt-4o,Accepted,46050,0.7731699126930826
generation,gpt-4o,CompileError,1821,0.03057421087978509
generation,gpt-4o,MemoryLimitExceeded,74,0.0012424445936870382
generation,gpt-4o,RuntimeError,1544,0.025923438549361986
generation,gpt-4o,TimeLimitExceeded,1896,0.03183344526527871
generation,gpt-4o,WrongAnswer,8175,0.13725654801880458
generation,qwen3-1.7b,Accepted,13686,0.22978509066487576
generation,qwen3-1.7b,CompileError,12187,0.20461719274680995
generation,qwen3-1.7b,MemoryLimitExceeded,77,0.0012928139691067832
generation,qwen3-1.7b,RuntimeError,5110,0.08579583613163197
generation,qwen3-1.7b,TimeLimitExceeded,1646,0.02763599731363331
generation,qwen3-1.7b,WrongAnswer,26854,0.45087306917394226
generation,qwen3-14b,Accepted,31790,0.533747481531229
generation,qwen3-14b,CompileError,10525,0.17671255876427133
generation,qwen3-14b,MemoryLimitExceeded,83,0.0013935527199462727
generation,qwen3-14b,RuntimeError,2122,0.03562793821356615
generation,qwen3-14b,TimeLimitExceeded,1550,0.026024177300201477
generation,qwen3-14b,WrongAnswer,13490,0.22649429147078576
generation,qwen3-32b,Accepted,44608,0.7489590329079919
generation,qwen3-32b,CompileError,5463,0.09172263263935528
generation,qwen3-32b,MemoryLimitExceeded,59,0.0009905977165883143
generation,qwen3-32b,RuntimeError,2658,0.04462726662189389
generation,qwen3-32b,TimeLimitExceeded,2180,0.036601746138347886
generation,qwen3-32b,WrongAnswer,4592,0.0770987239758227
generation,qwen3-4b,Accepted,24645,0.4137844190732035
generation,qwen3-4b,CompileError,7246,0.12165883143049026
generation,qwen3-4b,MemoryLimitExceeded,88,0.0014775016789791806
generation,qwen3-4b,RuntimeError,3741,0.06281061114842176
generation,qwen3-4b,TimeLimitExceeded,1656,0.027803895231699127
generation,qwen3-4b,WrongAnswer,22184,0.3724647414372062
generation,qwen3-8b,Accepted,29942,0.5027199462726663
generation,qwen3-8b,CompileError,5258,0.08828072531900605
generation,qwen3-8b,MemoryLimitExceeded,57,0.0009570181329751511
generation,qwen3-8b,RuntimeError,3198,0.05369375419744795
generation,qwen3-8b,TimeLimitExceeded,1738,0.029180658159838817
generation,qwen3-8b,WrongAnswer,19367,0.32516789791806583
