model,qid,language,n_candidates,pass_at_1,pass_at_2,pass_at_3,pass_at_4,pass_at_5
claude-3-5-haiku-20241022,1,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1,C#,5,0,1,1,1,1
claude-3-5-haiku-20241022,1,C++,5,1,1,1,1,1
claude-3-5-haiku-20241022,1,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1,Java,5,0,1,1,1,1
claude-3-5-haiku-20241022,1,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,1,Python3,5,0,0,1,1,1
claude-3-5-haiku-20241022,1,Rust,5,0,0,0,0,0
claude-3-5-haiku-20241022,10,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,10,C#,5,0,0,1,1,1
claude-3-5-haiku-20241022,10,C++,5,1,1,1,1,1
claude-3-5-haiku-20241022,10,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,10,Java,5,1,1,1,1,1
claude-3-5-haiku-20241022,10,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,10,Python3,5,1,1,1,1,1
claude-3-5-haiku-20241022,10,Rust,5,0,0,0,0,1
claude-3-5-haiku-20241022,1000,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1000,C#,5,0,0,0,0,0
claude-3-5-haiku-20241022,1000,C++,5,1,1,1,1,1
claude-3-5-haiku-20241022,1000,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1000,Java,5,1,1,1,1,1
claude-3-5-haiku-20241022,1000,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,1000,Python3,5,1,1,1,1,1
claude-3-5-haiku-20241022,1000,Rust,5,0,0,0,0,1
claude-3-5-haiku-20241022,1002,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1002,C#,5,0,1,1,1,1
claude-3-5-haiku-20241022,1002,C++,5,0,0,0,0,0
claude-3-5-haiku-20241022,1002,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1002,Java,5,1,1,1,1,1
claude-3-5-haiku-20241022,1002,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,1002,Python3,5,1,1,1,1,1
claude-3-5-haiku-20241022,1002,Rust,5,0,0,0,0,0
claude-3-5-haiku-20241022,1003,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1003,C#,5,1,1,1,1,1
claude-3-5-haiku-20241022,1003,C++,5,1,1,1,1,1
claude-3-5-haiku-20241022,1003,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1003,Java,5,1,1,1,1,1
claude-3-5-haiku-20241022,1003,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,1003,Python3,5,1,1,1,1,1
claude-3-5-haiku-20241022,1003,Rust,5,0,0,0,0,0
claude-3-5-haiku-20241022,1004,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1004,C#,5,1,1,1,1,1
