tag,n_tasks,pass_at_1,pass_at_2,pass_at_3,pass_at_4,pass_at_5,pass_at_5_gain
Array,72080,0.5866814650388458,0.640996115427303,0.6653995560488346,0.6799667036625971,0.6896087680355161,0.1029273029966703
Backtracking,4160,0.575,0.6401442307692308,0.6646634615384616,0.6778846153846154,0.6891826923076924,0.1141826923076924
Binary Indexed Tree,1280,0.40390625,0.45703125,0.49453125,0.51484375,0.52890625,0.125
Binary Search,12560,0.5278662420382165,0.5840764331210191,0.6107484076433121,0.6252388535031848,0.6361464968152867,0.10828025477707015
Binary Search Tree,160,0.5,0.56875,0.5875,0.6125,0.625,0.125
Binary Tree,160,0.5,0.56875,0.5875,0.6125,0.625,0.125
Bit Manipulation,10240,0.56181640625,0.61396484375,0.638671875,0.65302734375,0.66298828125,0.10117187500000002
Bitmask,1520,0.4631578947368421,0.5335526315789474,0.569078947368421,0.5861842105263158,0.5986842105263158,0.13552631578947372
Brainteaser,720,0.5527777777777778,0.6166666666666667,0.6388888888888888,0.6597222222222222,0.6666666666666666,0.11388888888888882
Breadth-First Search,3040,0.5230263157894737,0.58125,0.6095394736842106,0.6263157894736842,0.6378289473684211,0.11480263157894743
Bucket Sort,480,0.5729166666666666,0.61875,0.6520833333333333,0.6770833333333334,0.6854166666666667,0.11250000000000004
Combinatorics,1520,0.3875,0.4355263157894737,0.45789473684210524,0.47039473684210525,0.4756578947368421,0.0881578947368421
Counting,8400,0.6278571428571429,0.6784523809523809,0.6996428571428571,0.7147619047619047,0.7239285714285715,0.09607142857142859
Counting Sort,640,0.7359375,0.7875,0.8109375,0.81875,0.825,0.08906249999999993
Data Stream,800,0.5325,0.57125,0.605,0.61625,0.625,0.09250000000000003
Depth-First Search,2800,0.5535714285714286,0.615,0.6417857142857143,0.6589285714285714,0.6692857142857143,0.11571428571428566
Design,5840,0.5558219178082192,0.6049657534246575,0.6299657534246575,0.6440068493150685,0.6544520547945205,0.0986301369863013
Divide and Conquer,1840,0.5630434782608695,0.6233695652173913,0.6483695652173913,0.6657608695652174,0.6782608695652174,0.11521739130434783
Doubly-Linked List,480,0.5125,0.5541666666666667,0.5895833333333333,0.6083333333333333,0.6270833333333333,0.11458333333333337
Dynamic Programming,21040,0.49386882129277565,0.5532794676806083,0.5809410646387833,0.5963403041825095,0.6063688212927757,0.11250000000000004
Enumeration,4320,0.49583333333333335,0.5534722222222223,0.5819444444444445,0.5972222222222222,0.6087962962962963,0.11296296296296293
Eulerian Circuit,160,0.275,0.36875,0.41875,0.44375,0.45625,0.18124999999999997
Game Theory,1520,0.575,0.6361842105263158,0.6552631578947369,0.6717105263157894,0.6789473684210526,0.10394736842105268
Geometry,480,0.6041666666666666,0.6395833333333333,0.6625,0.6645833333333333,0.6708333333333333,0.06666666666666665
Graph Theory,1760,0.48579545454545453,0.5454545454545454,0.5704545454545454,0.5886363636363636,0.6011363636363637,0.11534090909090916
Greedy,17760,0.549436936936937,0.6093468468468468,0.6342342342342342,0.6497184684684685,0.6596846846846847,0.1102477477477477
Hash Function,1280,0.48125,0.53125,0.5578125,0.57265625,0.58515625,0.10390625000000003
Hash Table,29680,0.5783692722371968,0.6345350404312669,0.6600067385444744,0.675,0.6845013477088949,0.10613207547169812
Heap (Priority Queue),7440,0.46196236559139786,0.523252688172043,0.5509408602150537,0.5705645161290323,0.582258064516129,0.12029569892473119
Interactive,320,0.696875,0.734375,0.740625,0.75,0.7625,0.06562499999999993
Iterator,240,0.5666666666666667,0.6,0.6208333333333333,0.6291666666666667,0.6375,0.0708333333333333
Linked List,1120,0.5678571428571428,0.6133928571428572,0.6419642857142858,0.6580357142857143,0.6696428571428571,0.10178571428571426
Math,24320,0.5935444078947368,0.6444078947368421,0.6673930921052632,0.6822368421052631,0.6911595394736842,0.09761513157894741
Matrix,2400,0.5625,0.6275,0.6516666666666666,0.67,0.6795833333333333,0.11708333333333332
