model,total_attempts,accepted_count,AC_rate,median_runtime_ms,median_memory_mb,runtime_efficiency,memory_efficiency,pareto_rate
qwen3-coder-480b-a35b-instruct,"59,560","53,022",89.0%,3.000,22.200,-0.016,0.008,36.9%
gpt-4o,"59,560","46,050",77.3%,3.000,22.000,-0.029,-0.002,27.3%
qwen3-32b,"59,560","44,608",74.9%,3.000,23.400,-0.013,-0.012,21.5%
glm-4,"59,560","40,073",67.3%,3.000,22.800,-0.029,0.001,32.1%
claude-3-5-haiku-20241022,"59,560","38,855",65.2%,4.000,31.900,-0.037,-0.007,31.0%
qwen3-14b,"59,560","31,790",53.4%,3.000,24.400,-0.096,-0.016,17.9%
qwen3-8b,"59,560","29,942",50.3%,2.000,25.000,-0.093,-0.012,17.3%
deepseek-v3.2,"59,560","27,855",46.8%,4.000,21.300,0.054,0.003,31.8%
qwen3-4b,"59,560","24,645",41.4%,2.000,25.300,-0.154,-0.006,19.8%
qwen3-1.7b,"59,560","13,686",23.0%,1.000,28.500,-0.172,-0.001,25.2%
