model,C,C++,C#,Java,JavaScript,Python3,Golang,Rust
qwen3-coder-480b-a35b-instruct,83.4%,94.5%,94.1%,94.2%,92.9%,94.6%,93.6%,89.7%
gpt-4o,81.6%,90.9%,90.1%,90.3%,88.9%,91.3%,89.5%,86.6%
qwen3-32b,79.2%,78.4%,92.2%,91.8%,90.7%,88.4%,92.2%,87.4%
glm-4,70.2%,84.8%,86.0%,86.5%,85.2%,86.7%,81.5%,79.6%
deepseek-v3.2,75.1%,65.2%,77.4%,64.2%,84.1%,83.8%,91.6%,80.8%
claude-3-5-haiku-20241022,87.1%,48.2%,87.8%,91.3%,92.7%,88.5%,94.3%,27.8%
qwen3-14b,53.3%,40.7%,73.1%,65.9%,74.5%,80.6%,70.0%,58.8%
qwen3-8b,35.1%,54.7%,54.7%,57.8%,58.6%,62.4%,52.4%,40.8%
qwen3-4b,27.3%,47.1%,47.0%,47.1%,50.0%,57.3%,40.0%,30.0%
qwen3-1.7b,14.3%,25.1%,25.3%,27.8%,31.5%,36.7%,21.1%,10.6%
