direction,pass_at_5,reverse_direction,reverse_pass_at_5,abs_gap
Java->JavaScript,85.8%,JavaScript->Java,58.4%,27.4%
JavaScript->Python3,58.6%,Python3->JavaScript,84.6%,26.0%
Python3->Rust,82.6%,Rust->Python3,58.6%,24.0%
Java->Rust,82.4%,Rust->Java,58.8%,23.6%
Golang->Python3,63.0%,Python3->Golang,82.4%,19.4%
C#->Python3,58.6%,Python3->C#,76.2%,17.6%
C->JavaScript,82.8%,JavaScript->C,68.6%,14.2%
Golang->Java,71.6%,Java->Golang,84.6%,13.0%
C++->Rust,84.8%,Rust->C++,72.0%,12.8%
C->Rust,82.0%,Rust->C,69.4%,12.6%
