stage,covered_languages,problems
reference,1,10
reference,2,167
reference,3,98
reference,4,81
reference,5,212
reference,6,420
reference,7,169
reference,8,332
reference_plus_generation_accepted,1,0
reference_plus_generation_accepted,2,0
reference_plus_generation_accepted,3,0
reference_plus_generation_accepted,4,1
reference_plus_generation_accepted,5,2
reference_plus_generation_accepted,6,3
reference_plus_generation_accepted,7,17
reference_plus_generation_accepted,8,1466
reference_plus_generation_and_translation_accepted,1,0
reference_plus_generation_and_translation_accepted,2,0
reference_plus_generation_and_translation_accepted,3,0
reference_plus_generation_and_translation_accepted,4,1
reference_plus_generation_and_translation_accepted,5,2
reference_plus_generation_and_translation_accepted,6,3
reference_plus_generation_and_translation_accepted,7,17
reference_plus_generation_and_translation_accepted,8,1466
