source_lang,target_lang,n_tasks,pass_at_1,pass_at_2,pass_at_3,pass_at_4,pass_at_5,pass_at_5_gain
C,C#,500,0.548,0.634,0.676,0.704,0.738,0.18999999999999995
C,C++,500,0.546,0.664,0.706,0.726,0.748,0.20199999999999996
C,Golang,500,0.648,0.73,0.768,0.79,0.806,0.15800000000000003
C,Java,500,0.494,0.552,0.58,0.602,0.62,0.126
C,JavaScript,500,0.654,0.75,0.786,0.812,0.828,0.17399999999999993
C,Python3,500,0.438,0.536,0.58,0.632,0.658,0.22000000000000003
C,Rust,500,0.644,0.742,0.776,0.794,0.82,0.17599999999999993
C#,C,500,0.538,0.608,0.642,0.658,0.674,0.136
C#,C++,500,0.566,0.678,0.724,0.746,0.766,0.20000000000000007
C#,Golang,500,0.67,0.736,0.778,0.794,0.8,0.13
C#,Java,500,0.524,0.578,0.602,0.61,0.632,0.10799999999999998
C#,JavaScript,500,0.666,0.748,0.768,0.784,0.79,0.124
C#,Python3,500,0.388,0.474,0.516,0.56,0.586,0.19799999999999995
C#,Rust,500,0.604,0.708,0.754,0.776,0.798,0.19400000000000006
C++,C,500,0.554,0.638,0.674,0.694,0.706,0.1519999999999999
C++,C#,500,0.502,0.596,0.646,0.664,0.69,0.18799999999999994
C++,Golang,500,0.686,0.768,0.8,0.82,0.838,0.1519999999999999
C++,Java,500,0.562,0.626,0.656,0.672,0.684,0.122
C++,JavaScript,500,0.678,0.772,0.822,0.844,0.858,0.17999999999999994
C++,Python3,500,0.452,0.536,0.586,0.624,0.642,0.19
C++,Rust,500,0.692,0.772,0.814,0.83,0.848,0.15600000000000003
Golang,C,500,0.542,0.614,0.648,0.662,0.682,0.14
Golang,C#,500,0.494,0.588,0.642,0.702,0.72,0.22599999999999998
Golang,C++,500,0.568,0.654,0.698,0.724,0.754,0.18600000000000005
Golang,Java,500,0.596,0.656,0.684,0.7,0.716,0.12
Golang,JavaScript,500,0.692,0.794,0.834,0.86,0.878,0.18600000000000005
Golang,Python3,500,0.444,0.53,0.572,0.604,0.63,0.186
Golang,Rust,500,0.666,0.736,0.784,0.802,0.816,0.1499999999999999
Java,C,500,0.582,0.628,0.652,0.676,0.686,0.10400000000000009
Java,C#,500,0.548,0.628,0.676,0.704,0.708,0.15999999999999992
Java,C++,500,0.626,0.736,0.772,0.794,0.808,0.18200000000000005
Java,Golang,500,0.71,0.788,0.814,0.832,0.846,0.136
Java,JavaScript,500,0.698,0.782,0.816,0.846,0.858,0.16000000000000003
Java,Python3,500,0.506,0.576,0.636,0.678,0.702,0.19599999999999995
Java,Rust,500,0.656,0.75,0.796,0.818,0.824,0.16799999999999993
JavaScript,C,500,0.528,0.6,0.638,0.666,0.686,0.15800000000000003
JavaScript,C#,500,0.51,0.604,0.66,0.694,0.738,0.22799999999999998
JavaScript,C++,500,0.55,0.656,0.686,0.716,0.738,0.18799999999999994
JavaScript,Golang,500,0.674,0.76,0.79,0.798,0.812,0.138
JavaScript,Java,500,0.44,0.512,0.554,0.572,0.584,0.14399999999999996
JavaScript,Python3,500,0.412,0.486,0.528,0.566,0.586,0.174
JavaScript,Rust,500,0.606,0.71,0.768,0.79,0.808,0.20200000000000007
Python3,C,500,0.572,0.644,0.668,0.688,0.716,0.14400000000000002
Python3,C#,500,0.546,0.66,0.706,0.74,0.762,0.21599999999999997
Python3,C++,500,0.552,0.664,0.706,0.738,0.754,0.20199999999999996
Python3,Golang,500,0.662,0.752,0.802,0.814,0.824,0.16199999999999992
Python3,Java,500,0.526,0.604,0.634,0.646,0.666,0.14
Python3,JavaScript,500,0.684,0.768,0.806,0.828,0.846,0.16199999999999992
Python3,Rust,500,0.638,0.766,0.798,0.816,0.826,0.18799999999999994
Rust,C,500,0.566,0.632,0.654,0.678,0.694,0.128
Rust,C#,500,0.482,0.576,0.626,0.664,0.696,0.21399999999999997
Rust,C++,500,0.506,0.624,0.668,0.704,0.72,0.21399999999999997
Rust,Golang,500,0.592,0.694,0.73,0.768,0.794,0.20200000000000007
Rust,Java,500,0.466,0.53,0.554,0.57,0.588,0.12199999999999994
Rust,JavaScript,500,0.6,0.73,0.788,0.814,0.824,0.22399999999999998
Rust,Python3,500,0.398,0.47,0.538,0.556,0.586,0.18799999999999994
