model,qid,source_lang,target_lang,n_candidates,pass_at_1,pass_at_2,pass_at_3,pass_at_4,pass_at_5
claude-3-5-haiku-20241022,1014,C,C#,5,0,0,0,0,0
claude-3-5-haiku-20241022,1014,C,C++,5,0,0,0,0,1
claude-3-5-haiku-20241022,1014,C,Golang,5,0,0,0,1,1
claude-3-5-haiku-20241022,1014,C,Java,5,0,0,0,0,0
claude-3-5-haiku-20241022,1014,C,JavaScript,5,0,1,1,1,1
claude-3-5-haiku-20241022,1014,C,Python3,5,0,0,0,0,0
claude-3-5-haiku-20241022,1014,C,Rust,5,1,1,1,1,1
claude-3-5-haiku-20241022,1014,C#,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1014,C#,C++,5,0,1,1,1,1
claude-3-5-haiku-20241022,1014,C#,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1014,C#,Java,5,0,0,0,0,0
claude-3-5-haiku-20241022,1014,C#,JavaScript,5,0,0,0,0,0
claude-3-5-haiku-20241022,1014,C#,Python3,5,0,0,0,0,0
claude-3-5-haiku-20241022,1014,C#,Rust,5,0,1,1,1,1
claude-3-5-haiku-20241022,1014,C++,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1014,C++,C#,5,0,0,0,0,0
claude-3-5-haiku-20241022,1014,C++,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1014,C++,Java,5,0,0,0,0,0
claude-3-5-haiku-20241022,1014,C++,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,1014,C++,Python3,5,0,0,0,0,0
claude-3-5-haiku-20241022,1014,C++,Rust,5,1,1,1,1,1
claude-3-5-haiku-20241022,1014,Golang,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1014,Golang,C#,5,0,0,0,0,0
claude-3-5-haiku-20241022,1014,Golang,C++,5,0,0,0,0,0
claude-3-5-haiku-20241022,1014,Golang,Java,5,0,0,0,0,0
claude-3-5-haiku-20241022,1014,Golang,JavaScript,5,0,1,1,1,1
claude-3-5-haiku-20241022,1014,Golang,Python3,5,0,0,0,0,0
claude-3-5-haiku-20241022,1014,Golang,Rust,5,1,1,1,1,1
claude-3-5-haiku-20241022,1014,Java,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1014,Java,C#,5,0,0,0,0,0
claude-3-5-haiku-20241022,1014,Java,C++,5,1,1,1,1,1
claude-3-5-haiku-20241022,1014,Java,Golang,5,0,1,1,1,1
claude-3-5-haiku-20241022,1014,Java,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,1014,Java,Python3,5,0,0,0,1,1
claude-3-5-haiku-20241022,1014,Java,Rust,5,1,1,1,1,1
claude-3-5-haiku-20241022,1014,JavaScript,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1014,JavaScript,C#,5,0,0,0,0,0
claude-3-5-haiku-20241022,1014,JavaScript,C++,5,1,1,1,1,1
claude-3-5-haiku-20241022,1014,JavaScript,Golang,5,0,1,1,1,1
claude-3-5-haiku-20241022,1014,JavaScript,Java,5,0,0,0,0,0
claude-3-5-haiku-20241022,1014,JavaScript,Python3,5,0,0,0,0,0
claude-3-5-haiku-20241022,1014,JavaScript,Rust,5,1,1,1,1,1
claude-3-5-haiku-20241022,1014,Python3,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1014,Python3,C#,5,0,0,0,0,0
claude-3-5-haiku-20241022,1014,Python3,C++,5,1,1,1,1,1
claude-3-5-haiku-20241022,1014,Python3,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1014,Python3,Java,5,0,0,0,0,0
claude-3-5-haiku-20241022,1014,Python3,JavaScript,5,0,0,1,1,1
claude-3-5-haiku-20241022,1014,Python3,Rust,5,1,1,1,1,1
claude-3-5-haiku-20241022,1014,Rust,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1014,Rust,C#,5,0,0,0,0,0
claude-3-5-haiku-20241022,1014,Rust,C++,5,0,0,0,0,0
claude-3-5-haiku-20241022,1014,Rust,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1014,Rust,Java,5,0,0,0,0,0
claude-3-5-haiku-20241022,1014,Rust,JavaScript,5,0,0,0,0,0
claude-3-5-haiku-20241022,1014,Rust,Python3,5,0,0,0,0,0
claude-3-5-haiku-20241022,1061,C,C#,5,1,1,1,1,1
claude-3-5-haiku-20241022,1061,C,C++,5,1,1,1,1,1
claude-3-5-haiku-20241022,1061,C,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1061,C,Java,5,1,1,1,1,1
claude-3-5-haiku-20241022,1061,C,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,1061,C,Python3,5,0,1,1,1,1
claude-3-5-haiku-20241022,1061,C,Rust,5,1,1,1,1,1
claude-3-5-haiku-20241022,1061,C#,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1061,C#,C++,5,1,1,1,1,1
claude-3-5-haiku-20241022,1061,C#,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1061,C#,Java,5,0,0,0,0,0
claude-3-5-haiku-20241022,1061,C#,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,1061,C#,Python3,5,0,0,0,1,1
claude-3-5-haiku-20241022,1061,C#,Rust,5,1,1,1,1,1
claude-3-5-haiku-20241022,1061,C++,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1061,C++,C#,5,0,0,1,1,1
claude-3-5-haiku-20241022,1061,C++,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1061,C++,Java,5,1,1,1,1,1
claude-3-5-haiku-20241022,1061,C++,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,1061,C++,Python3,5,0,1,1,1,1
claude-3-5-haiku-20241022,1061,C++,Rust,5,1,1,1,1,1
claude-3-5-haiku-20241022,1061,Golang,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1061,Golang,C#,5,0,1,1,1,1
claude-3-5-haiku-20241022,1061,Golang,C++,5,0,0,1,1,1
claude-3-5-haiku-20241022,1061,Golang,Java,5,1,1,1,1,1
claude-3-5-haiku-20241022,1061,Golang,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,1061,Golang,Python3,5,0,0,0,0,0
claude-3-5-haiku-20241022,1061,Golang,Rust,5,1,1,1,1,1
claude-3-5-haiku-20241022,1061,Java,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1061,Java,C#,5,0,1,1,1,1
claude-3-5-haiku-20241022,1061,Java,C++,5,1,1,1,1,1
claude-3-5-haiku-20241022,1061,Java,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1061,Java,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,1061,Java,Python3,5,0,0,0,1,1
claude-3-5-haiku-20241022,1061,Java,Rust,5,1,1,1,1,1
claude-3-5-haiku-20241022,1061,JavaScript,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1061,JavaScript,C#,5,1,1,1,1,1
claude-3-5-haiku-20241022,1061,JavaScript,C++,5,1,1,1,1,1
claude-3-5-haiku-20241022,1061,JavaScript,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1061,JavaScript,Java,5,1,1,1,1,1
claude-3-5-haiku-20241022,1061,JavaScript,Python3,5,0,1,1,1,1
claude-3-5-haiku-20241022,1061,JavaScript,Rust,5,1,1,1,1,1
claude-3-5-haiku-20241022,1061,Python3,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1061,Python3,C#,5,1,1,1,1,1
claude-3-5-haiku-20241022,1061,Python3,C++,5,1,1,1,1,1
claude-3-5-haiku-20241022,1061,Python3,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1061,Python3,Java,5,0,0,1,1,1
claude-3-5-haiku-20241022,1061,Python3,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,1061,Python3,Rust,5,1,1,1,1,1
claude-3-5-haiku-20241022,1061,Rust,C,5,1,1,1,1,1
claude-3-5-haiku-20241022,1061,Rust,C#,5,1,1,1,1,1
claude-3-5-haiku-20241022,1061,Rust,C++,5,0,1,1,1,1
claude-3-5-haiku-20241022,1061,Rust,Golang,5,1,1,1,1,1
claude-3-5-haiku-20241022,1061,Rust,Java,5,0,1,1,1,1
claude-3-5-haiku-20241022,1061,Rust,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,1061,Rust,Python3,5,0,0,0,0,1
claude-3-5-haiku-20241022,1103,C,C#,5,0,0,0,0,0
claude-3-5-haiku-20241022,1103,C,C++,5,0,0,0,0,0
claude-3-5-haiku-20241022,1103,C,Golang,5,0,1,1,1,1
claude-3-5-haiku-20241022,1103,C,Java,5,0,0,0,0,0
claude-3-5-haiku-20241022,1103,C,JavaScript,5,1,1,1,1,1
claude-3-5-haiku-20241022,1103,C,Python3,5,0,0,0,0,0
claude-3-5-haiku-20241022,1103,C,Rust,5,1,1,1,1,1
