model,candidates,accepted,accepted_rate,pass_at_1,pass_at_5
qwen3-coder-480b-a35b-instruct,"59,560","53,022",89.0%,89.1%,92.1%
gpt-4o,"59,560","46,050",77.3%,77.2%,88.6%
qwen3-32b,"59,560","44,608",74.9%,74.7%,87.6%
glm-4,"59,560","40,073",67.3%,67.4%,82.6%
deepseek-v3.2,"59,560","27,855",46.8%,46.4%,77.8%
claude-3-5-haiku-20241022,"59,560","38,855",65.2%,65.1%,77.2%
qwen3-14b,"59,560","31,790",53.4%,53.1%,64.6%
qwen3-8b,"59,560","29,942",50.3%,50.2%,52.1%
qwen3-4b,"59,560","24,645",41.4%,41.4%,43.2%
qwen3-1.7b,"59,560","13,686",23.0%,22.9%,24.1%
