model,WrongAnswer,CompileError,RuntimeError,TimeLimitExceeded,MemoryLimitExceeded,OutputLimitExceeded
qwen3-coder-480b-a35b-instruct,5.8%,1.3%,1.4%,2.5%,0.0%,0.0%
gpt-4o,13.7%,3.1%,2.6%,3.2%,0.1%,0.0%
qwen3-32b,7.7%,9.2%,4.5%,3.7%,0.1%,0.0%
glm-4,20.3%,6.9%,3.2%,2.2%,0.1%,0.0%
deepseek-v3.2,4.9%,35.4%,11.7%,1.2%,0.1%,0.0%
claude-3-5-haiku-20241022,3.9%,24.5%,3.7%,2.5%,0.1%,0.0%
qwen3-14b,22.6%,17.7%,3.6%,2.6%,0.1%,0.0%
qwen3-8b,32.5%,8.8%,5.4%,2.9%,0.1%,0.0%
qwen3-4b,37.2%,12.2%,6.3%,2.8%,0.1%,0.0%
qwen3-1.7b,45.1%,20.5%,8.6%,2.8%,0.1%,0.0%
