tag,n_tasks,pass_at_1,pass_at_5,pass_at_5_gain
Counting Sort,640,73.6%,82.5%,8.9%
Interactive,320,69.7%,76.2%,6.6%
Simulation,"7,280",64.9%,75.1%,10.2%
Randomized,720,65.7%,72.8%,7.1%
Counting,"8,400",62.8%,72.4%,9.6%
Reservoir Sampling,160,63.7%,71.9%,8.1%
Two Pointers,"10,080",62.1%,71.6%,9.6%
Topological Sort,320,60.9%,70.0%,9.1%
Rejection Sampling,160,63.7%,70.0%,6.2%
String,"38,080",59.1%,69.3%,10.3%
Sorting,"19,600",58.7%,69.2%,10.5%
Math,"24,320",59.4%,69.1%,9.8%
Array,"72,080",58.7%,69.0%,10.3%
Backtracking,"4,160",57.5%,68.9%,11.4%
Bucket Sort,480,57.3%,68.5%,11.2%
Quickselect,400,57.8%,68.5%,10.8%
Hash Table,"29,680",57.8%,68.5%,10.6%
Radix Sort,160,53.8%,68.1%,14.4%
Matrix,"2,400",56.2%,68.0%,11.7%
Game Theory,"1,520",57.5%,67.9%,10.4%
