task,model,pass_at_1,pass_at_5,pass_at_5_gain
generation,qwen3-coder-480b-a35b-instruct,89.1%,92.1%,3.0%
generation,gpt-4o,77.2%,88.6%,11.4%
generation,qwen3-32b,74.7%,87.6%,12.8%
generation,glm-4,67.4%,82.6%,15.2%
generation,deepseek-v3.2,46.4%,77.8%,31.3%
generation,claude-3-5-haiku-20241022,65.1%,77.2%,12.1%
generation,qwen3-14b,53.1%,64.6%,11.5%
generation,qwen3-8b,50.2%,52.1%,1.8%
generation,qwen3-4b,41.4%,43.2%,1.8%
generation,qwen3-1.7b,22.9%,24.1%,1.2%
translation,qwen3-coder-480b-a35b-instruct,87.5%,90.5%,3.0%
translation,gpt-4o,61.8%,85.8%,24.0%
translation,glm-4,54.3%,73.8%,19.5%
translation,deepseek-v3.2,43.8%,60.5%,16.7%
translation,claude-3-5-haiku-20241022,37.4%,59.0%,21.7%
