qid,difficulty,tags,url
1,Easy,Array|Hash Table,https://leetcode.com/problems/two-sum
3,Medium,Hash Table|String|Sliding Window,https://leetcode.cn/problems/longest-substring-without-repeating-characters
4,Hard,Array|Binary Search|Divide and Conquer,https://leetcode.cn/problems/median-of-two-sorted-arrays
5,Medium,Two Pointers|String|Dynamic Programming,https://leetcode.cn/problems/longest-palindromic-substring
6,Medium,String,https://leetcode.cn/problems/zigzag-conversion
7,Medium,Math,https://leetcode.cn/problems/reverse-integer
8,Medium,String,https://leetcode.cn/problems/string-to-integer-atoi
9,Easy,Math,https://leetcode.cn/problems/palindrome-number
10,Hard,String|Dynamic Programming|Recursion,https://leetcode.cn/problems/regular-expression-matching
12,Medium,Hash Table|Math|String,https://leetcode.cn/problems/integer-to-roman
13,Easy,Hash Table|Math|String,https://leetcode.cn/problems/roman-to-integer
14,Easy,Array|String|Trie,https://leetcode.cn/problems/longest-common-prefix
15,Medium,Array|Two Pointers|Sorting,https://leetcode.cn/problems/3sum
16,Medium,Array|Two Pointers|Sorting,https://leetcode.cn/problems/3sum-closest
18,Medium,Array|Two Pointers|Sorting,https://leetcode.cn/problems/4sum
20,Easy,String|Stack,https://leetcode.cn/problems/valid-parentheses
22,Medium,String|Dynamic Programming|Backtracking,https://leetcode.cn/problems/generate-parentheses
23,Hard,Linked List|Divide and Conquer|Heap (Priority Queue)|Merge Sort,https://leetcode.cn/problems/merge-k-sorted-lists
26,Easy,Array|Two Pointers,https://leetcode.cn/problems/remove-duplicates-from-sorted-array
27,Easy,Array|Two Pointers,https://leetcode.cn/problems/remove-element
28,Easy,Two Pointers|String|String Matching,https://leetcode.cn/problems/find-the-index-of-the-first-occurrence-in-a-string
29,Medium,Math|Bit Manipulation,https://leetcode.cn/problems/divide-two-integers
30,Hard,Hash Table|String|Sliding Window,https://leetcode.cn/problems/substring-with-concatenation-of-all-words
31,Medium,Array|Two Pointers,https://leetcode.cn/problems/next-permutation
32,Hard,String|Dynamic Programming|Stack,https://leetcode.cn/problems/longest-valid-parentheses
33,Medium,Array|Binary Search,https://leetcode.cn/problems/search-in-rotated-sorted-array
34,Medium,Array|Binary Search,https://leetcode.cn/problems/find-first-and-last-position-of-element-in-sorted-array
35,Easy,Array|Binary Search,https://leetcode.cn/problems/search-insert-position
38,Medium,String,https://leetcode.cn/problems/count-and-say
39,Medium,Array|Backtracking,https://leetcode.cn/problems/combination-sum
40,Medium,Array|Backtracking,https://leetcode.cn/problems/combination-sum-ii
41,Hard,Array|Hash Table,https://leetcode.cn/problems/first-missing-positive
43,Medium,Math|String|Simulation,https://leetcode.cn/problems/multiply-strings
44,Hard,String|Dynamic Programming|Greedy|Recursion,https://leetcode.cn/problems/wildcard-matching
45,Medium,Array|Dynamic Programming|Greedy,https://leetcode.cn/problems/jump-game-ii
46,Medium,Array|Backtracking,https://leetcode.cn/problems/permutations
47,Medium,Array|Backtracking|Sorting,https://leetcode.cn/problems/permutations-ii
49,Medium,Array|Hash Table|String|Sorting,https://leetcode.cn/problems/group-anagrams
50,Medium,Math|Recursion,https://leetcode.cn/problems/powx-n
53,Medium,Array|Divide and Conquer|Dynamic Programming,https://leetcode.cn/problems/maximum-subarray
55,Medium,Array|Dynamic Programming|Greedy,https://leetcode.cn/problems/jump-game
56,Medium,Array|Sorting,https://leetcode.cn/problems/merge-intervals
57,Medium,Array,https://leetcode.cn/problems/insert-interval
58,Easy,String,https://leetcode.cn/problems/length-of-last-word
60,Hard,Math|Recursion,https://leetcode.cn/problems/permutation-sequence
65,Hard,String,https://leetcode.cn/problems/valid-number
66,Easy,Array|Math,https://leetcode.cn/problems/plus-one
67,Easy,Math|String|Bit Manipulation|Simulation,https://leetcode.cn/problems/add-binary
68,Hard,Array|String|Simulation,https://leetcode.cn/problems/text-justification
69,Easy,Math|Binary Search,https://leetcode.cn/problems/sqrtx
70,Easy,Math|Dynamic Programming|Memoization,https://leetcode.cn/problems/climbing-stairs
71,Medium,String|Stack,https://leetcode.cn/problems/simplify-path
72,Medium,String|Dynamic Programming,https://leetcode.cn/problems/edit-distance
75,Medium,Array|Two Pointers|Sorting,https://leetcode.cn/problems/sort-colors
76,Hard,Hash Table|String|Sliding Window,https://leetcode.cn/problems/minimum-window-substring
77,Medium,Backtracking,https://leetcode.cn/problems/combinations
78,Medium,Array|Backtracking|Bit Manipulation,https://leetcode.cn/problems/subsets
80,Medium,Array|Two Pointers,https://leetcode.cn/problems/remove-duplicates-from-sorted-array-ii
81,Medium,Array|Binary Search,https://leetcode.cn/problems/search-in-rotated-sorted-array-ii
87,Hard,String|Dynamic Programming,https://leetcode.cn/problems/scramble-string
