qid,difficulty,tags,url
40,Medium,Array|Backtracking,https://leetcode.cn/problems/combination-sum-ii
47,Medium,Array|Backtracking|Sorting,https://leetcode.cn/problems/permutations-ii
120,Medium,Array|Dynamic Programming,https://leetcode.cn/problems/triangle
134,Medium,Array|Greedy,https://leetcode.cn/problems/gas-station
624,Medium,Array|Greedy,https://leetcode.cn/problems/maximum-distance-in-arrays
781,Medium,Array|Hash Table|Math|Greedy,https://leetcode.cn/problems/rabbits-in-forest
826,Medium,Array|Two Pointers|Binary Search|Greedy|Sorting,https://leetcode.cn/problems/most-profit-assigning-work
871,Hard,Array|Dynamic Programming|Greedy|Heap (Priority Queue),https://leetcode.cn/problems/minimum-number-of-refueling-stops
910,Medium,Array|Math|Greedy|Sorting,https://leetcode.cn/problems/smallest-range-ii
922,Easy,Array|Two Pointers|Sorting,https://leetcode.cn/problems/sort-array-by-parity-ii
924,Hard,Array|Hash Table|Depth-First Search|Breadth-First Search|Union-Find|Graph Theory,https://leetcode.cn/problems/minimize-malware-spread
928,Hard,Array|Hash Table|Depth-First Search|Breadth-First Search|Union-Find|Graph Theory,https://leetcode.cn/problems/minimize-malware-spread-ii
1014,Medium,Array|Dynamic Programming,https://leetcode.cn/problems/best-sightseeing-pair
1061,Medium,String|Union-Find,https://leetcode.cn/problems/lexicographically-smallest-equivalent-string
1103,Easy,Math|Simulation,https://leetcode.cn/problems/distribute-candies-to-people
1146,Medium,Array|Hash Table|Binary Search|Design,https://leetcode.cn/problems/snapshot-array
1227,Medium,Math|Dynamic Programming|Brainteaser|Probability and Statistics,https://leetcode.cn/problems/airplane-seat-assignment-probability
1277,Medium,Array|Dynamic Programming|Matrix,https://leetcode.cn/problems/count-square-submatrices-with-all-ones
1278,Hard,String|Dynamic Programming,https://leetcode.cn/problems/palindrome-partitioning-iii
1287,Easy,Array,https://leetcode.cn/problems/element-appearing-more-than-25-in-sorted-array
1295,Easy,Array|Math,https://leetcode.cn/problems/find-numbers-with-even-number-of-digits
1298,Hard,Array|Breadth-First Search|Graph Theory,https://leetcode.cn/problems/maximum-candies-you-can-get-from-boxes
1299,Easy,Array,https://leetcode.cn/problems/replace-elements-with-greatest-element-on-right-side
1304,Easy,Array|Math,https://leetcode.cn/problems/find-n-unique-integers-sum-up-to-zero
1317,Easy,Math,https://leetcode.cn/problems/convert-integer-to-the-sum-of-two-no-zero-integers
1323,Easy,Math|Greedy,https://leetcode.cn/problems/maximum-69-number
1328,Medium,String|Greedy,https://leetcode.cn/problems/break-a-palindrome
1338,Medium,Array|Hash Table|Greedy|Sorting|Heap (Priority Queue),https://leetcode.cn/problems/reduce-array-size-to-the-half
1366,Medium,Array|Hash Table|String|Sorting|Counting,https://leetcode.cn/problems/rank-teams-by-votes
1394,Easy,Array|Hash Table|Counting,https://leetcode.cn/problems/find-lucky-integer-in-an-array
1399,Easy,Hash Table|Math|Counting,https://leetcode.cn/problems/count-largest-group
1432,Medium,Math|Greedy,https://leetcode.cn/problems/max-difference-you-can-get-from-changing-an-integer
1472,Medium,Array|Linked List|Stack|Design|Doubly-Linked List|Data Stream,https://leetcode.cn/problems/design-browser-history
1493,Medium,Array|Dynamic Programming|Sliding Window,https://leetcode.cn/problems/longest-subarray-of-1s-after-deleting-one-element
1550,Easy,Array,https://leetcode.cn/problems/three-consecutive-odds
1673,Medium,Array|Stack|Greedy|Monotonic Stack,https://leetcode.cn/problems/find-the-most-competitive-subsequence
1686,Medium,Array|Math|Greedy|Sorting|Heap (Priority Queue)|Game Theory,https://leetcode.cn/problems/stone-game-vi
1695,Medium,Array|Hash Table|Sliding Window,https://leetcode.cn/problems/maximum-erasure-value
1702,Medium,String|Greedy,https://leetcode.cn/problems/maximum-binary-string-after-change
1705,Medium,Array|Greedy|Heap (Priority Queue),https://leetcode.cn/problems/maximum-number-of-eaten-apples
1717,Medium,String|Stack|Greedy,https://leetcode.cn/problems/maximum-score-from-removing-substrings
1733,Medium,Array|Hash Table|Greedy,https://leetcode.cn/problems/minimum-number-of-people-to-teach
1745,Hard,String|Dynamic Programming,https://leetcode.cn/problems/palindrome-partitioning-iv
1792,Medium,Array|Greedy|Heap (Priority Queue),https://leetcode.cn/problems/maximum-average-pass-ratio
1793,Hard,Array|Two Pointers|Binary Search|Stack|Monotonic Stack,https://leetcode.cn/problems/maximum-score-of-a-good-subarray
1863,Easy,Array|Math|Backtracking|Bit Manipulation|Combinatorics|Enumeration,https://leetcode.cn/problems/sum-of-all-subset-xor-totals
1865,Medium,Array|Hash Table|Design,https://leetcode.cn/problems/finding-pairs-with-a-certain-sum
1870,Medium,Array|Binary Search,https://leetcode.cn/problems/minimum-speed-to-arrive-on-time
1883,Hard,Array|Dynamic Programming,https://leetcode.cn/problems/minimum-skips-to-arrive-at-meeting-on-time
1884,Medium,Math|Dynamic Programming,https://leetcode.cn/problems/egg-drop-with-2-eggs-and-n-floors
1900,Hard,Dynamic Programming|Memoization,https://leetcode.cn/problems/the-earliest-and-latest-rounds-where-players-compete
1920,Easy,Array|Simulation,https://leetcode.cn/problems/build-array-from-permutation
1922,Medium,Math|Recursion,https://leetcode.cn/problems/count-good-numbers
1935,Easy,Hash Table|String,https://leetcode.cn/problems/maximum-number-of-words-you-can-type
1957,Easy,String,https://leetcode.cn/problems/delete-characters-to-make-fancy-string
1963,Medium,Two Pointers|String|Stack|Greedy,https://leetcode.cn/problems/minimum-number-of-swaps-to-make-the-string-balanced
1969,Medium,Math|Greedy|Recursion,https://leetcode.cn/problems/minimum-non-zero-product-of-the-array-elements
1997,Medium,Array|Dynamic Programming,https://leetcode.cn/problems/first-day-where-you-have-been-in-all-the-rooms
